Region, County Name, District Name, District Number, Charter Status, Eligible For Free Meals Count, Eligible For Free Meals Percent, Eligible For Reduced-Price Meals Count, Eligible For Reduced-Price Meals Percent, Other Economically Disadvantaged Count, Other Economically Disadvantaged Percent, Not Economically Disadvantaged Count, Not Economically Disadvantaged Percent, Total Count
08, TITUS COUNTY, MOUNT PLEASANT ISD,225902, TRADITIONAL ISD/CSD,2989,58.02,0,0,1228,23.84,935,18.15,5152
08, BOWIE COUNTY, TEXARKANA ISD, 019907, TRADITIONAL ISD/CSD,4223,58.04,214,2.94,1038,14.27,1801,24.75,7276
20, BEXAR COUNTY, SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY, 015831, OPEN ENROLLMENT CHARTER,3465,58.07,528,8.85,12,0.2,1962,32.88,5967
03, REFUGIO COUNTY, REFUGIO ISD,196903, TRADITIONAL ISD/CSD,398,58.1,19,2.77,78,11.39,190,27.74,685
08, CAMP COUNTY, PITTSBURG ISD, 032902, TRADITIONAL ISD/CSD,1329,58.16,93,4.07,342,14.97,521,22.8,2285
11, JOHNSON COUNTY, ALVARADO ISD,126901, TRADITIONAL ISD/CSD,2200,58.17,398,10.52,19,0.5,1165,30.8,3782
12, HILL COUNTY, WHITNEY ISD,109911, TRADITIONAL ISD/CSD,859,58.24,75,5.08,0,0,541,36.68,1475
17, GARZA COUNTY, SOUTHLAND ISD, 085903, TRADITIONAL ISD/CSD,74,58.27,0,0,13,10.24,40,31.5,127
15, VAL VERDE COUNTY, SAN FELIPE-DEL RIO CISD,233901, TRADITIONAL ISD/CSD,5774,58.28,229,2.31,1419,14.32,2485,25.08,9907
16, SWISHER COUNTY, KRESS ISD,219905, TRADITIONAL ISD/CSD,154,58.33,20,7.58,0,0,90,34.09,264
03, WHARTON COUNTY, LOUISE ISD,241906, TRADITIONAL ISD/CSD,304,58.35,54,10.36,0,0,163,31.29,521
02, LIVE OAK COUNTY, GEORGE WEST ISD,149901, TRADITIONAL ISD/CSD,618,58.36,56,5.29,0,0,385,36.36,1059
06, WALKER COUNTY, HUNTSVILLE ISD,236902, TRADITIONAL ISD/CSD,6612,58.42,521,4.6,585,5.17,3600,31.81,11318
17, FLOYD COUNTY, LOCKNEY ISD, 077902, TRADITIONAL ISD/CSD,236,58.42,18,4.46,62,15.35,88,21.78,404
01, HIDALGO COUNTY, HORIZON MONTESSORI PUBLIC SCHOOLS,108802, OPEN ENROLLMENT CHARTER,832,58.43,65,4.56,198,13.9,329,23.1,1424
13, WILLIAMSON COUNTY, COUPLAND ISD,246914, TRADITIONAL ISD/CSD,173,58.45,36,12.16,0,0,87,29.39,296
01, HIDALGO COUNTY, PHARR-SAN JUAN-ALAMO ISD,108909, TRADITIONAL ISD/CSD,17548,58.48,0,0,10586,35.28,1874,6.25,30008
09, YOUNG COUNTY, OLNEY ISD,252903, TRADITIONAL ISD/CSD,426,58.52,-999,-999,-999,-999,257,35.3,728
10, DALLAS COUNTY, TEXANS CAN ACADEMIES, 057804, OPEN ENROLLMENT CHARTER,2123,58.84,100,2.77,461,12.78,924,25.61,3608
06, POLK COUNTY, LIVINGSTON ISD,187907, TRADITIONAL ISD/CSD,2387,58.91,124,3.06,265,6.54,1276,31.49,4052
20, ATASCOSA COUNTY, PLEASANTON ISD, 007905, TRADITIONAL ISD/CSD,1984,58.98,-999,-999,-999,-999,1139,33.86,3364
04, HARRIS COUNTY, HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,101858, OPEN ENROLLMENT CHARTER,4194,59.01,517,7.27,469,6.6,1927,27.11,7107
17, LYNN COUNTY, WILSON ISD,153907, TRADITIONAL ISD/CSD,81,59.12,11,8.03,20,14.6,25,18.25,137
20, BEXAR COUNTY, SOUTHWEST ISD, 015912, TRADITIONAL ISD/CSD,8403,59.17,521,3.67,2665,18.76,2613,18.4,14202
12, BOSQUE COUNTY, MERIDIAN ISD, 018902, TRADITIONAL ISD/CSD,204,59.3,37,10.76,0,0,103,29.94,344
01, CAMERON COUNTY, HARLINGEN CISD, 031903, TRADITIONAL ISD/CSD,9951,59.3,527,3.14,2770,16.51,3532,21.05,16780
17, FLOYD COUNTY, FLOYDADA COLLEGIATE ISD, 077901, TRADITIONAL ISD/CSD,404,59.32,30,4.41,87,12.78,160,23.49,681
05, TYLER COUNTY, WOODVILLE ISD,229903, TRADITIONAL ISD/CSD,721,59.34,38,3.13,112,9.22,344,28.31,1215
